LOCATION,Sector
KHM,Others
KHM,Re-export & Re-import
CMR,Agriculture
CMR,Fishing
CMR,Mining and Quarrying
CMR,Food & Beverages
CMR,Textiles and Wearing Apparel
CMR,Wood and Paper
CMR,"Petroleum, Chemical and non-Metallic Mineral Products"
CMR,Metal Products
CMR,Electrical and Machinery
CMR,Transport Equipment
CMR,Other Manufacturing
CMR,Recycling
CMR,"Electricity, Gas and Water"
CMR,Construction
CMR,Maintenance and Repair
CMR,Wholesale Trade
CMR,Retail Trade
CMR,Hotels and Restraurants
CMR,Transport
CMR,Post and Telecommunications
CMR,Finacial Intermediation and Business Activities
CMR,Public Administration
CMR,"Education, Health and Other Services"
CMR,Private Households
CMR,Others
CMR,Re-export & Re-import
CAN,Agriculture
CAN,Fishing
CAN,Mining and Quarrying
CAN,Food & Beverages
CAN,Textiles and Wearing Apparel
CAN,Wood and Paper
CAN,"Petroleum, Chemical and non-Metallic Mineral Products"
CAN,Metal Products
CAN,Electrical and Machinery
CAN,Transport Equipment
CAN,Other Manufacturing
CAN,Recycling
CAN,"Electricity, Gas and Water"
CAN,Construction
CAN,Maintenance and Repair
CAN,Wholesale Trade
CAN,Retail Trade
CAN,Hotels and Restraurants
CAN,Transport
CAN,Post and Telecommunications
CAN,Finacial Intermediation and Business Activities
CAN,Public Administration
CAN,"Education, Health and Other Services"
CAN,Private Households
CAN,Others
CAN,Re-export & Re-import
CPV,Agriculture
CPV,Fishing
CPV,Mining and Quarrying
CPV,Food & Beverages
CPV,Textiles and Wearing Apparel
CPV,Wood and Paper
CPV,"Petroleum, Chemical and non-Metallic Mineral Products"
CPV,Metal Products
CPV,Electrical and Machinery
CPV,Transport Equipment
CPV,Other Manufacturing
CPV,Recycling
CPV,"Electricity, Gas and Water"
CPV,Construction
CPV,Maintenance and Repair
CPV,Wholesale Trade
CPV,Retail Trade
CPV,Hotels and Restraurants
CPV,Transport
CPV,Post and Telecommunications
CPV,Finacial Intermediation and Business Activities
CPV,Public Administration
CPV,"Education, Health and Other Services"
CPV,Private Households
CPV,Others
CPV,Re-export & Re-import
CYM,Agriculture
CYM,Fishing
CYM,Mining and Quarrying
CYM,Food & Beverages
CYM,Textiles and Wearing Apparel
CYM,Wood and Paper
CYM,"Petroleum, Chemical and non-Metallic Mineral Products"
CYM,Metal Products
CYM,Electrical and Machinery
CYM,Transport Equipment
CYM,Other Manufacturing
CYM,Recycling
CYM,"Electricity, Gas and Water"
CYM,Construction
CYM,Maintenance and Repair
CYM,Wholesale Trade
CYM,Retail Trade
