Index,Country,CountryA3, Entity,Sector
412,"Argentina",ARG,Commodities,"Other electrical equipment and parts thereof"
413,"Argentina",ARG,Commodities,"Electronic valves and tubes, electronic components and parts and pieces"
414,"Argentina",ARG,Commodities,"Television transmission apparatus and apparatus for broadcasting and telephony and line telegraphy; their parts and accessories"
415,"Argentina",ARG,Commodities,"Radio receivers and television receivers, apparatus for recording or reproduction of sound or television signals, microphones, speakers, amplifiers, etc., Apparatus or radio-telephony receivers"
416,"Argentina",ARG,Commodities,"Parts for two-way radio broadcasting, radar for navigation devices or remote control by radio waves"
417,"Argentina",ARG,Commodities,"Magnetic tapes and disks for audio or audiovisual equipment. Cards with magnetic strips or chips"
418,"Argentina",ARG,Commodities,"Medical and surgical equipment and orthopedic appliances"
419,"Argentina",ARG,Commodities,"Instruments and measuring devices, verification, testing, navigating and other purposes, except optical instruments, process control instruments and industrial parts and accessories"
420,"Argentina",ARG,Commodities,"Optical instruments and photographic equipment and apparatus, and parts and accessories"
421,"Argentina",ARG,Commodities,"Watches and parts thereof"
422,"Argentina",ARG,Commodities,"Motor vehicles, trailers and parts, parts and accessories"
423,"Argentina",ARG,Commodities,"Bodies (including cabs) for motor vehicles, trailers, parts and accessories"
424,"Argentina",ARG,Commodities,"Ships. Sports and recreation boats"
425,"Argentina",ARG,Commodities,"Locomotives and rolling stock of railway and tramway and parts thereof"
426,"Argentina",ARG,Commodities,"Aircraft and spacecraft and parts thereof"
427,"Argentina",ARG,Commodities,"Other transport equipment and parts thereof"
428,"Argentina",ARG,Commodities,"Nonfinancial intangible assets"
429,"Argentina",ARG,Commodities,"Building and construction services"
430,"Argentina",ARG,Commodities,"Wholesale trade services"
431,"Argentina",ARG,Commodities,"Retail trade services"
432,"Argentina",ARG,Commodities,"Hosting Services"
433,"Argentina",ARG,Commodities,"Food supply services, services of beverages for consumption on the premises"
434,"Argentina",ARG,Commodities,"Passenger transport services"
435,"Argentina",ARG,Commodities,"Freight services"
436,"Argentina",ARG,Commodities,"Pipeline transport services"
437,"Argentina",ARG,Commodities,"Transport and auxiliary services "
438,"Argentina",ARG,Commodities,"Postal and courier services"
439,"Argentina",ARG,Commodities,"Transmission and distribution services "
440,"Argentina",ARG,Commodities,"Gas distribution services through mains"
441,"Argentina",ARG,Commodities,"Water distribution pipes"
442,"Argentina",ARG,Commodities,"Financial intermediation"
443,"Argentina",ARG,Commodities,"Insurance and Pensions"
444,"Argentina",ARG,Commodities,"Reinsurance services"
